13 	343.384615385 	55093.0828402 	578.076923077 	108.692307692
6 	333.916666667 	57091.9097222 	572.833333333 	95.0
30 	345.583333333 	60607.3430556 	591.633333333 	99.5333333333
117 	339.072649573 	53345.2810468 	569.52991453 	108.615384615
173 	331.413294798 	48604.5661816 	550.445086705 	112.38150289
156 	339.141025641 	43013.3583169 	544.602564103 	133.679487179
135 	342.933333333 	37083.6251852 	533.288888889 	152.577777778
149 	352.080536913 	31993.7921715 	528.322147651 	175.838926174
156 	350.766025641 	27242.1664098 	512.75 	188.782051282
165 	352.972727273 	24585.4265289 	506.290909091 	199.654545455
158 	353.389240506 	22097.997226 	498.14556962 	208.632911392
139 	349.618705036 	20360.32224 	488.215827338 	211.021582734
149 	340.436241611 	21068.4070087 	481.758389262 	199.11409396
151 	330.784768212 	21243.5596355 	472.887417219 	188.682119205
151 	322.556291391 	21229.140871 	464.536423841 	180.57615894
152 	309.792763158 	20970.3221845 	450.861842105 	168.723684211
7 	288.428571429 	24564.8163265 	445.142857143 	131.714285714
152 	306.006578947 	20526.8815357 	445.263157895 	166.75
157 	303.267515924 	19510.164104 	438.732484076 	167.802547771
147 	300.244897959 	18001.9944468 	429.972789116 	170.517006803
140 	300.303571429 	17877.6828444 	429.478571429 	171.128571429
159 	295.386792453 	17548.6334105 	423.301886792 	167.471698113
160 	292.275 	16917.761875 	417.575 	166.975
155 	293.367741935 	16040.5744433 	415.032258065 	171.703225806
141 	288.209219858 	17105.1583547 	414.29787234 	162.120567376
157 	282.47133758 	18930.3192422 	415.751592357 	149.191082803
158 	275.259493671 	20166.711144 	413.03164557 	137.487341772
155 	272.593548387 	21018.4670552 	413.303225806 	131.883870968
151 	273.208609272 	21393.6816477 	415.258278146 	131.158940397
152 	274.299342105 	20942.3676311 	414.815789474 	133.782894737
144 	270.673611111 	19736.372637 	406.770833333 	134.576388889
146 	272.383561644 	18892.1200038 	405.294520548 	139.47260274
157 	273.792993631 	19546.1004605 	409.146496815 	138.439490446
